estacao,ano,precip_total,rx1day,dias_chuva_forte,cdd,tmax_media
A401,2000,172.2,57.2,1,168,29.15454545454546
A401,2001,1856.0,80.4,4,30,28.249860724233987
A401,2002,1799.8,107.8,8,30,28.31142857142857
A401,2003,2022.2,194.0,6,42,28.578654970760233
A401,2004,2043.0,101.2,8,16,30.344808743169402
A401,2005,1869.0,152.0,9,53,30.58706896551724
A401,2006,124.00000000000001,41.400000000000006,0,299,29.851322751322748
A401,2007,999.2,65.8,1,29,30.60090634441088
A401,2008,634.6000000000001,49.4,0,118,27.8616
A401,2009,936.4,65.2,2,53,29.103287671232874
A401,2010,1477.7999999999997,115.2,5,19,28.703561643835613
A401,2011,1761.6000000000001,114.4,5,35,28.102191780821915
A401,2012,1058.2,112.2,2,78,28.98415300546448
A401,2013,1759.7999999999997,116.4,6,42,29.28333333333333
A401,2014,1440.4,111.8,3,45,28.903013698630136
A401,2015,1441.8000000000002,87.6,5,28,29.501643835616438
A401,2016,1110.0,61.0,1,27,29.71011560693642
A401,2017,1597.2,66.6,5,13,29.224109589041095
A401,2018,1289.8,84.19999999999999,4,14,29.538904109589044
A401,2019,1855.4,161.8,6,32,29.58109589041096
A401,2020,2265.0,104.0,8,16,28.88633879781421
A402,2002,156.6,41.0,0,181,32.24826086956522
A402,2003,367.4,53.199999999999996,1,84,31.76991150442478
A402,2004,0.0,0.0,0,366,
A402,2005,190.8,49.4,0,267,8.239285714285714
A402,2006,488.80000000000007,93.6,1,98,28.41938775510204
A402,2007,21.2,10.6,0,263,32.89808219178082
A402,2008,882.1999999999999,54.4,2,135,31.766184971098262
A402,2009,1395.8,121.39999999999999,5,127,31.430958904109588
A402,2010,967.8000000000001,55.2,3,141,32.37150837988827
A402,2011,1248.2000000000003,72.6,3,161,31.276438356164377
A402,2012,480.20000000000005,59.0,2,125,32.9811320754717
A402,2013,1017.2,63.8,2,104,32.5117808219178
A402,2014,789.8,72.8,3,95,32.41178082191781
A402,2015,696.0,69.2,2,160,33.25945205479452
A402,2016,996.1999999999999,78.6,4,167,32.75491803278689
A402,2017,635.2,88.4,3,137,32.469760479041916
A402,2018,702.1999999999998,60.599999999999994,3,145,32.06493150684932
A402,2019,867.0,62.0,2,134,33.208383233532935
A402,2020,256.20000000000005,55.0,2,332,31.682240437158473
A404,2002,583.4000000000001,106.8,2,51,30.637944664031618
A404,2003,729.2,72.60000000000001,1,45,29.973925501432667
A404,2004,1281.6000000000001,103.6,4,126,29.825207756232686
A404,2005,80.20000000000002,34.6,0,249,29.405780346820812
A404,2006,1.6,0.4,0,365,29.681506849315067
A404,2007,3.4000000000000004,2.2,0,307,31.05780821917808
A404,2008,1.4,0.6,0,366,30.15274390243902
A404,2009,1040.0,98.0,3,68,29.772093023255813
A404,2010,872.0,57.0,1,73,30.06657534246575
A404,2011,813.2,49.6,0,177,29.438082191780822
A404,2012,934.4000000000001,66.8,3,145,30.651373626373626
A404,2013,1024.8,80.2,2,104,30.210393258426965
A404,2014,775.2,61.0,2,156,30.16082191780822
A404,2015,793.8,89.0,2,155,30.949315068493153
A404,2016,346.2,43.0,0,321,31.093715846994535
A404,2017,918.4000000000001,86.8,4,165,30.363561643835613
A404,2018,739.5999999999999,64.6,2,121,29.826575342465755
A404,2019,713.4,77.39999999999999,1,135,30.918082191780822
A404,2020,1191.0,78.8,6,209,29.53963636363636
A405,2003,355.20000000000005,108.2,1,220,29.091216216216218
A405,2004,0.0,0.0,0,366,28.192622950819672
A405,2005,0.0,0.0,0,365,29.544871794871796
A405,2006,720.4000000000001,125.2,1,97,27.443893129770995
