codigo,nome,populacao,idhm,rdpc
2900108,Abaíra,8681,0.603,290.53
2900207,Abaré,20594,0.575,220.16
2900306,Acajutiba,15214,0.582,260.46
2900355,Adustina,17209,0.546,211.37
2900405,Água Fria,17096,0.55,215.12
2900504,Érico Cardoso,10513,0.584,258.28
2900603,Aiquara,4387,0.583,283.24
2900702,Alagoinhas,153023,0.683,553.17
2900801,Alcobaça,22509,0.608,357.99
2900900,Almadina,5273,0.563,265.39
2901007,Amargosa,37631,0.625,369.84
2901106,Amélia Rodrigues,24997,0.666,354.66
2901155,América Dourada,16086,0.561,186.1
2901205,Anagé,21229,0.54,243.52
2901304,Andaraí,13122,0.555,230.36
2901353,Andorinha,14416,0.588,305.81
2901403,Angical,13902,0.625,266.89
2901502,Anguera,11369,0.589,269.0
2901601,Antas,19659,0.592,283.59
2901700,Antônio Cardoso,11670,0.561,236.86
2901809,Antônio Gonçalves,11955,0.598,295.7
2901908,Aporá,17840,0.548,199.04
2901957,Apuarema,7274,0.552,252.3
2902005,Aracatu,12960,0.581,316.6
2902054,Araçás,12237,0.57,230.75
2902104,Araci,54903,0.534,221.98
2902203,Aramari,11519,0.588,274.61
2902252,Arataca,10904,0.559,256.14
2902302,Aratuípe,8848,0.575,278.23
2902401,Aurelino Leal,11079,0.568,253.19
2902500,Baianópolis,13979,0.589,235.05
2902609,Baixa Grande,20431,0.585,243.98
2902658,Banzaê,13251,0.579,228.54
2902708,Barra,54225,0.557,183.03
2902807,Barra da Estiva,20198,0.575,270.66
2902906,Barra do Choça,30831,0.551,266.13
2903003,Barra do Mendes,13128,0.63,292.41
2903102,Barra do Rocha,5515,0.577,304.56
2903201,Barreiras,158432,0.721,602.82
2903235,Barro Alto,15171,0.607,247.32
2903276,Barrocas,16225,0.61,284.41
2903300,Barro Preto,5312,0.602,287.6
2903409,Belmonte,23540,0.598,289.9
2903508,Belo Campo,17013,0.575,263.52
2903607,Biritinga,15989,0.538,209.37
2903706,Boa Nova,12039,0.567,223.48
2903805,Boa Vista do Tupim,18491,0.551,195.71
2903904,Bom Jesus da Lapa,70151,0.633,367.62
2903953,Bom Jesus da Serra,9768,0.546,223.19
2904001,Boninal,14518,0.612,267.7
2904050,Bonito,16999,0.561,249.0
2904100,Boquira,21486,0.603,266.71
2904209,Botuporã,10050,0.575,235.16
2904308,Brejões,14155,0.597,261.14
2904407,Brejolândia,10675,0.592,221.22
2904506,Brotas de Macaúbas,10705,0.57,247.49
2904605,Brumado,67468,0.656,403.22
2904704,Buerarema,18269,0.613,343.23
2904753,Buritirama,21374,0.565,184.53
2904803,Caatiba,6232,0.561,293.78
2904852,Cabaceiras do Paraguaçu,19010,0.581,209.45
2904902,Cachoeira,33659,0.647,368.11
2905008,Caculé,23407,0.637,382.15
2905107,Caém,8912,0.546,223.48
2905156,Caetanos,14671,0.542,224.38
2905206,Caetité,51184,0.625,405.31
2905305,Cafarnaum,18585,0.584,251.31
2905404,Cairu,18666,0.627,334.19
